Purchase Order Number,Barcode,Product Name,Date,Total
1,Barcode,Not Found,2024-10-22,0
2,899450002029,Phulka fresh uncooked DT 18pc/ 595g,2024-10-22,163
3,53600164344,Not Found,2024-10-22,0
4,72935011604,Not Found,2024-10-22,0
5,796252100208,GOPI INDIAN STYLE WHOLE MILK YOGURT 4LB/1.81KG,2024-10-22,36
6,784830000163,Straus Organic * Whole Milk Plastic 1 Gallons,2024-10-22,22
7,796252100215,Gopi Indian Style Whole Milk Yogurt 2Lbs/906G,2024-10-22,37
8,70852000206,Clover Org Whole Milk Vitamin D 1Gallon,2024-10-22,0
9,70852000213,Not Found,2024-10-22,0
10,70852000091,Not Found,2024-10-22,0
11,854442007130,ALEXANDRE ORGANIC REGENRATIVE WM 6/48OZ,2024-10-22,36
12,183860000820,Early On Whole Wheat Bread 1lb,2024-10-22,30
13,70378440203,Not Found,2024-10-22,0
14,899450002005,ROTI FRESH UNCOOKED 652GM/23OZ/12CT,2024-10-22,27
15,796252700149,GOPI PANEER 396G/14OZ,2024-10-22,34
16,72935011703,Not Found,2024-10-22,0
17,796252700088,Gopi Paneer 226 G,2024-10-22,23
18,53600164191,Not Found,2024-10-22,0
19,72935011000,Not Found,2024-10-22,0
20,796252300172,Karoun Yogurt Drink Original Half Gallon(1.89L),2024-10-22,16
21,851402008237,NANAK PANEER 12OZ/341G,2024-10-22,23
22,851402008015,Nanak Malai Paneer 12oz/341g,2024-10-22,17
23,796252300189,Karoun Yougurt Drink 1 Gallon,2024-10-22,19
24,797677600014,Nanak Khoa/Mawa 341 G,2024-10-22,6
25,796252100222,Gopi Indian Style 2%Fat Yogurt 2Lbs/906G,2024-10-22,8
26,796252300271,Karoun Yogurt Drink Mint Flavor Half Gallon(1.89L),2024-10-22,16
27,899450002340,Tava fresh organic roti uncoocked DT 14pc,2024-10-22,29
28,742365264955,Horizon Organic Vit D 1/2 Gal milk,2024-10-22,12
29,742365006791,Horizon Whole Milk Gallon,2024-10-22,10
30,70852994536,Not Found,2024-10-22,0
31,53600164061,Not Found,2024-10-22,0
32,796252100017,Karoun Plain Yogurt 2Lbs/908G,2024-10-22,8
33,72935010201,Not Found,2024-10-22,0
34,854442007000,Alexandre milk A2/A2 6% 1.5qt,2024-10-22,11
35,860414000115,Alexandre Eco Dairy A2 Milk 59floz,2024-10-22,15
36,796252700095,Gopi Malai Yougurt 32oz/2lb,2024-10-22,9
37,70852000084,Not Found,2024-10-22,0
38,8901262010207,AMUL PASTEURISED BUFFALO & COW MILK BUTTER SALTED 3.53OZ/100GM,2024-10-22,7
39,860414000122,Alexandre A2/A2 Org Reduced Milk 2% 59fl oz,2024-10-22,9
40,742365264979,Horizon DHA HOMO HGL,2024-10-22,14
41,854442007376,Alexandre Organic 2% 6/48oz,2024-10-22,5
42,96252000646,Not Found,2024-10-22,0
43,742365006784,Horizon  2% Milk 1G,2024-10-22,7
44,796252300288,Karoun Yogurt Drink Mint Flavor 1Gal/3.78L,2024-10-22,8
45,797677300303,Nanak Desi Ghee 3.5lbs/1.6kg,2024-10-22,8
46,742365007071,Horizon Organic Grassfed Vitamin D HG,2024-10-22,8
47,784830000118,Straus organic WM HGL glass ($3deposit),2024-10-22,10
48,796252300165,Karoun Yogurt Dink Original 1Pint/473Ml,2024-10-22,11
49,796252300257,Gopi Lassi Yogurt Drink .5Gal/1.89L,2024-10-22,1
50,796252700408,Gopi Malai Breakfast Cream Spread 8Oz/226G,2024-10-22,8
51,796252100284,Gopi Indian Style 2%Fat Yogurt 4Lbs/1.81Kg,2024-10-22,17
52,797677300105,NANAK PURE DESI GHEE 14OZ/400GM,2024-10-22,7
53,742365264757,Horizon Organic 2% Reduced Fat Milk 1.89ltr,2024-10-22,10
54,784830000989,Straus Organic Choclate Milk 946ml,2024-10-22,6
55,784830000910,Straus organic red. Fat milk HGL glass ($3deposit),2024-10-22,8
56,8901262020060,AMUL CHEESE BLOCK 1KG,2024-10-22,8
57,796252100253,Karoun Unsalted Whipped Butter 8Oz/227G,2024-10-22,1
58,70852991344,Not Found,2024-10-22,0
59,796252700477,Thirumala Dahu Whole Milk Yogurt 5Lb/2.26Kg,2024-10-22,6
60,30022003239,Not Found,2024-10-22,0
61,899450002159,Roti Fresh Uncooked Roti Chapati 23 oz,2024-10-22,12
62,797677300204,Nanak Pure Desi Ghee 28Oz/800G,2024-10-22,9
63,742365264856,Horizon 2% DHA Half Gallon,2024-10-22,9
64,796252700194,Gopi Paneer 2.5lb/1.13kg,2024-10-22,4
65,796252300295,Gopi Lassi Mango Yogurt Drink .5Gal/1.89L,2024-10-22,3
66,70852994529,Not Found,2024-10-22,0
67,742365216855,Horizon Organic Heavy Whip Cream 473ml,2024-10-22,2
68,70852309002,Not Found,2024-10-22,0
69,70910002050,Not Found,2024-10-22,0
70,797677702404,Nanak Rasmalai 20pieces 35.3oz/1kg,2024-10-22,0
71,796252100246,Karoun Unsalted Butter 1lb,2024-10-22,2
72,854442007291,ALEXANDRE 100% GRASS-FED A2/A2 ORGANIC PLAIN YOGURT 680GM,2024-10-22,9
73,796252100239,Gopi 0% Yougurt 2 Lb,2024-10-22,5
74,30022000337,Not Found,2024-10-22,0
75,797677718900,Nanak rasmalai 850g,2024-10-22,1
76,70852993881,Not Found,2024-10-22,0
77,694162274814,Desi natural paneer Low Fat 340G,2024-10-22,6
78,694162274708,Homestyle Pure Desi Paneer All Natural Net Wt 340G,2024-10-22,4
79,797677719105,Nanak Kesar Rasmalai 30OZ/1.87LBS/850GM,2024-10-22,7
80,70852993898,Not Found,2024-10-22,0
81,796252222191,Karoun Breakfast Cream Spread 8Oz/226G,2024-10-22,3
82,70852000282,Not Found,2024-10-22,0
83,70852310008,Not Found,2024-10-22,0
84,797677719945,Nanak gulabjamun 20pc 908g,2024-10-22,3
85,797677720200,NANAK GAJAR HALWA 30OZ/850GM/1.87LBS,2024-10-22,0
86,8901262020022,Amul Cheese 14.11OZ/400GM,2024-10-22,4
87,854442007055,Alexandre Family Farm Chocolate Milk 28fl oz/828ml,2024-10-22,1
88,796252300509,Gopi Lassi Rosewater Yogurt Drink 1 pint/473ml,2024-10-22,1
89,797677704705,NANAK ALOO TIKKI 12 PC 720 G,2024-10-22,2
90,25293001367,Not Found,2024-10-22,0
91,784830000804,Straus  Milk European Style (yogurt plain) 32oz,2024-10-22,2
92,742365007606,Horizon Organic Growing Years Milk HG,2024-10-22,0
93,851402008022,Nanak Malai Paneer 2.2lb/1kg,2024-10-22,2
94,25293000988,Not Found,2024-10-22,0
95,854442007062,Alexandre Family Farm Chocolate Milk 12fl oz/.375QT/355ml,2024-10-22,2
96,797677720217,Nanak moong halwa 850g,2024-10-22,0
97,796252100482,Karoun Mediterranean Labne 3Lb,2024-10-22,0
98,25293600393,Not Found,2024-10-22,0
99,854442007109,Alexandre 6%milk fat yogurt 24oz,2024-10-22,4
100,89114275108,Not Found,2024-10-22,0
101,796252222146,Karoun labne spread 16oz,2024-10-22,2
102,47200153303,Not Found,2024-10-22,0
103,47200153259,Not Found,2024-10-22,0
104,742365216701,Horizon org. Half&half 473ml,2024-10-22,2
105,797677715800,Nanak Bread Pakora 400g/14oz,2024-10-22,0
